"date","quadrant (Q)","sample","tara (g)","wet (g)","dry (g)","wet-tara","dry-tara","WC(%)","Harvest Sample","ISOLAB IDENTITY","Delta_N","%N corr.","Delta_C","%C corr.","Cut","Material"
2022-12-13,1,1,10.35,22.7,11.96,12.35,1.61,86.9635627530364,NA,109,1.8978,3.252868343,-31.5748,36.41197425,NA,"aboveground biomass"
2022-12-13,1,2,10.35,36.5,13.7,26.15,3.35,87.189292543021,NA,110,1.6068,3.574129984,-31.6018,41.13392938,NA,"aboveground biomass"
2022-12-13,1,3,10.35,37.89,15.97,27.54,5.62,79.5933188090051,NA,111,1.1168,2.089833928,-30.3438,23.82619589,NA,"aboveground biomass"
2022-12-13,2,1,10.35,47.33,18.01,36.98,7.66,79.2861005949162,NA,112,1.9228,2.134931906,-30.9448,23.74328039,NA,"aboveground biomass"
2022-12-13,2,2,10.35,32.27,14.11,21.92,3.76,82.8467153284672,NA,113,1.6178,3.484328207,-31.5438,39.16843036,NA,"aboveground biomass"
2022-12-13,2,3,10.35,35.45,14.58,25.1,4.23,83.1474103585657,NA,114,1.3198,3.481079518,-31.3738,37.85724857,NA,"aboveground biomass"
2022-12-13,3,1,10.35,40.69,16.6,30.34,6.25,79.4001318391562,NA,115,2.1478,2.89287298,-31.9198,31.24253548,NA,"aboveground biomass"
2022-12-13,3,2,10.35,22.68,12.81,12.33,2.46,80.0486618004866,NA,116,2.4216,3.796160155,-31.6778,37.65376411,NA,"aboveground biomass"
2022-12-13,3,3,10.35,28.38,12.87,18.03,2.52,86.0232945091514,NA,117,1.1226,3.909841895,-31.5658,43.04334813,NA,"aboveground biomass"
2022-12-13,4,1,10.35,43.18,15.97,32.83,5.62,82.8815108132805,NA,118,0.7366,3.653681209,-31.6448,41.40413896,NA,"aboveground biomass"
2022-12-13,4,2,10.35,56.29,16.54,45.94,6.19,86.5259033521985,NA,119,2.2636,3.518879896,-32.1088,42.18811754,NA,"aboveground biomass"
2022-12-13,4,3,10.35,28.71,13.3,18.36,2.95,83.9324618736383,NA,120,2.1216,3.239261927,-31.5808,41.0607097,NA,"aboveground biomass"
2023-02-07,1,1,10.63,33.45,16.32,22.82,5.69,75.0657318141981,NA,121,1.9058,3.158735547,-31.5148,42.07195629,NA,"aboveground biomass"
2023-02-07,1,2,10.6,36.47,16.52,25.87,5.92,77.1163509856977,NA,122,2.3228,3.644889995,-31.1138,41.86590767,NA,"aboveground biomass"
2023-02-07,1,3,10.5,27.38,14.55,16.88,4.05,76.0071090047393,NA,123,1.8358,3.357174161,-30.9778,40.6963631,NA,"aboveground biomass"
2023-02-07,2,1,10.59,14.75,11.17,4.16,0.58,86.0576923076923,NA,124,2.3478,4.059601459,-31.0948,42.54912078,NA,"aboveground biomass"
2023-02-07,2,2,10.64,25.01,14.44,14.37,3.8,73.5560194850383,NA,125,1.2308,3.398989772,-31.2128,40.52994677,NA,"aboveground biomass"
2023-02-07,2,3,10.56,43.58,18.17,33.02,7.61,76.9533615990309,NA,126,2.4088,3.181582093,-31.1968,42.0725818,NA,"aboveground biomass"
2023-02-07,3,1,10.61,18.32,12.19,7.71,1.58,79.5071335927367,NA,127,5.5198,3.159698193,-30.6588,42.59279582,NA,"aboveground biomass"
2023-02-07,3,2,10.54,27.79,14.62,17.25,4.08,76.3478260869565,NA,128,1.6528,3.000424633,-31.0608,43.51863164,NA,"aboveground biomass"
2023-02-07,3,3,10.54,23.27,13.32,12.73,2.78,78.1618224666143,NA,129,2.2868,3.529546896,-30.6858,41.99413232,NA,"aboveground biomass"
2023-02-07,4,1,10.47,24.24,13.79,13.77,3.32,75.8896151053014,NA,130,4.3638,3.154848989,-30.2458,42.6751773,NA,"aboveground biomass"
2023-02-07,4,2,10.51,29.7,15.28,19.19,4.77,75.1433038040646,NA,131,2.9838,3.17949038,-30.9268,42.44317135,NA,"aboveground biomass"
2023-02-07,4,3,10.53,26.05,14.19,15.52,3.66,76.4175257731959,NA,132,3.8338,3.210279761,-31.1248,43.28701552,NA,"aboveground biomass"
2023-03-17,1,1,10.35,42.98,18.07,32.63,7.72,76.3407906834202,NA,133,1.669,4.55173521,-28.67485714,44.16711919,NA,"aboveground biomass"
2023-03-17,1,2,10.44,35.92,16.54,25.48,6.1,76.0596546310832,NA,134,1.268,4.350513398,-28.09185714,43.31048582,NA,"aboveground biomass"
2023-03-17,1,3,10.45,36.3,16.45,25.85,6,76.78916827853,NA,135,2.956,4.298286252,-28.38585714,44.44330397,NA,"aboveground biomass"
2023-03-17,2,1,10.39,29.37,15.06,18.98,4.67,75.3951527924131,NA,136,1.517,3.916281309,-28.38685714,43.27855463,NA,"aboveground biomass"
2023-03-17,2,2,10.36,38.98,18.11,28.62,7.75,72.9210342417889,NA,137,0.694,3.269253496,-29.06485714,40.36457468,NA,"aboveground biomass"
2023-03-17,2,3,10.34,52,20.38,41.66,10.04,75.9001440230437,NA,138,1.548,3.741670166,-29.03985714,43.18666216,NA,"aboveground biomass"
2023-03-17,3,1,10.29,40.99,17.61,30.7,7.32,76.1563517915309,NA,139,1.157,4.370934776,-28.46685714,42.9247175,NA,"aboveground biomass"
2023-03-17,3,2,10.28,37.75,16.64,27.47,6.36,76.847469967237,NA,140,1.298,4.030773885,-28.99685714,42.98702028,NA,"aboveground biomass"
2023-03-17,3,3,10.31,32.1,15.35,21.79,5.04,76.8701239100505,NA,141,1.904,4.473582645,-28.45885714,43.5023638,NA,"aboveground biomass"
2023-03-17,4,1,10.32,28.43,14.87,18.11,4.55,74.8757592490337,NA,142,1.474,4.199586524,-28.01185714,42.88508772,NA,"aboveground biomass"
2023-03-17,4,2,10.37,41.49,17.88,31.12,7.51,75.8676092544987,NA,143,1.845,4.123949445,-28.92985714,43.33222678,NA,"aboveground biomass"
2023-03-17,4,3,10.4,31.9,16.08,21.5,5.68,73.5813953488372,NA,144,1.569,3.510111452,-28.86685714,43.62570933,NA,"aboveground biomass"
2023-04-14,1,1,12.79,109.81,30.09,97.02,17.3,82.1686250257679,NA,145,3.221,3.654461763,-28.80985714,44.28788083,NA,"aboveground biomass"
2023-04-14,1,2,12.68,143.16,34.25,130.48,21.57,83.4687308399755,NA,146,4.432,3.291522469,-29.57185714,43.84143129,NA,"aboveground biomass"
2023-04-14,1,3,12.68,154.85,39.05,142.17,26.37,81.4517830765984,NA,147,3.955,3.02653975,-29.51285714,43.83597103,NA,"aboveground biomass"
2023-04-14,2,1,12.81,151.68,39.16,138.87,26.35,81.0254194570462,NA,148,4.243,2.820272817,-29.23885714,43.79588473,NA,"aboveground biomass"
2023-04-14,2,2,12.83,174.66,43.62,161.83,30.79,80.9738614595563,NA,149,3.619,3.210769396,-29.13385714,44.30580055,NA,"aboveground biomass"
2023-04-14,2,3,12.84,122.35,33.05,109.51,20.21,81.5450643776824,NA,150,3.495,2.982672982,-29.21885714,43.74853406,NA,"aboveground biomass"
2023-04-14,3,1,12.73,105.94,31.52,93.21,18.79,79.8412187533526,NA,151,4.016,2.644833582,-29.47585714,44.03705004,NA,"aboveground biomass"
2023-04-14,3,2,12.76,43.72,18.98,30.96,6.22,79.9095607235142,NA,152,4.471,3.799002199,-28.86585714,43.78273722,NA,"aboveground biomass"
2023-04-14,3,3,12.62,147.99,38.27,135.37,25.65,81.0519317426313,NA,153,4.4438,3.253841959,-29.4048,44.13575768,NA,"aboveground biomass"
2023-04-14,4,1,12.65,82.5,26.98,69.85,14.33,79.4846098783107,NA,154,5.0248,3.496597797,-28.9188,44.21812489,NA,"aboveground biomass"
2023-04-14,4,2,12.62,50.5,21.01,37.88,8.39,77.8511087645195,NA,155,6.6598,3.503456935,-28.6958,44.34171717,NA,"aboveground biomass"
2023-04-14,4,3,12.63,75.99,26.44,63.36,13.81,78.2039141414141,NA,156,4.7478,3.18190512,-29.3028,43.84498156,NA,"aboveground biomass"
2023-05-19,1,1,30,374.58,90.44,344.58,60.44,82.4598061408091,NA,157,4.4815,2.189097205,-30.34583333,43.20160291,NA,"aboveground biomass"
2023-05-19,1,2,30.07,669.29,140.2,639.22,110.13,82.7711898876756,NA,158,4.0975,1.792611264,-30.02583333,43.24458293,NA,"aboveground biomass"
2023-05-19,1,3,29.97,447.55,106.08,417.58,76.11,81.7735523731979,NA,159,3.4185,1.678500329,-30.48983333,43.66348887,NA,"aboveground biomass"
2023-05-19,2,1,30,542.31,126.16,512.31,96.16,81.2301145790635,NA,160,3.5125,1.436266132,-30.21183333,43.24617697,NA,"aboveground biomass"
2023-05-19,2,2,29.94,428.88,102.1,398.94,72.16,81.9120669774903,NA,161,3.7295,1.611762078,-30.63783333,43.57561502,NA,"aboveground biomass"
2023-05-19,2,3,30,442.5,102.04,412.5,72.04,82.5357575757576,NA,162,4.7305,1.576349965,-30.22183333,43.10094427,NA,"aboveground biomass"
2023-05-19,3,1,29.84,640.75,143.48,610.91,113.64,81.3982419669018,NA,163,3.6825,1.68975027,-30.32483333,43.43813141,NA,"aboveground biomass"
2023-05-19,3,2,29.91,411.19,100.5,381.28,70.59,81.4860469995804,NA,164,5.1615,1.489764523,-30.29683333,43.68108345,NA,"aboveground biomass"
2023-05-19,3,3,29.96,586.47,133.25,556.51,103.29,81.4396866183896,NA,165,3.7295,1.729381262,-30.17283333,43.16044607,NA,"aboveground biomass"
2023-05-19,4,1,29.86,403.87,102.99,374.01,73.13,80.4470468704045,NA,166,2.9695,1.557885161,-30.24783333,43.50065617,NA,"aboveground biomass"
2023-05-19,4,2,29.77,298.95,81.55,269.18,51.78,80.7638011739357,NA,167,4.4165,1.691776658,-30.78583333,43.37475392,NA,"aboveground biomass"
2023-05-19,4,3,29.97,291.73,82.35,261.76,52.38,79.9893031784841,NA,168,2.7835,1.556220341,-30.52883333,43.47006639,NA,"aboveground biomass"
2023-06-19,1,1,29.12,241.45,126.6,212.33,97.48,54.0903310884001,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-19,1,2,12.82,250.13,118.64,237.31,105.82,55.4085373562007,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-19,1,3,12.72,269.34,115.18,256.62,102.46,60.0732600732601,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-19,2,1,12.67,515.3,209.94,502.63,197.27,60.7524421542685,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-19,2,2,12.71,322.23,138.52,309.52,125.81,59.3531920392866,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-19,2,3,12.68,266.6,115.89,253.92,103.21,59.3533396345306,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-19,3,1,12.72,269.34,189.76,256.62,177.04,31.0108331384927,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-19,3,2,12.69,381.41,174.4,368.72,161.71,56.142872640486,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-19,3,3,12.76,454.02,142.68,441.26,129.92,70.5570412001994,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-19,4,1,12.73,304.2,144.18,291.47,131.45,54.9010189727931,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-19,4,2,12.71,387.75,171.06,375.04,158.35,57.7778370307167,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-19,4,3,12.8,346.92,160.6,334.12,147.8,55.7643960253801,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-28,1,1,14.99,390.98,211.3,375.99,196.31,47.7885050134312,NA,169,4.0515,1.21106003,-27.87483333,44.65646134,NA,"aboveground biomass"
2023-06-28,1,2,14.87,268.81,154.02,253.94,139.15,45.2035913995432,NA,170,2.8055,1.156734989,-28.44083333,44.28283985,NA,"aboveground biomass"
2023-06-28,1,3,14.86,430.11,216.65,415.25,201.79,51.4051776038531,NA,171,3.3595,1.131153746,-29.26383333,44.32180629,NA,"aboveground biomass"
2023-06-28,2,1,29.15,316.13,189.99,286.98,160.84,43.9542825283992,NA,172,3.5655,1.170483683,-27.93983333,44.47109354,NA,"aboveground biomass"
2023-06-28,2,2,14.84,358.36,185.14,343.52,170.3,50.4250116441547,NA,173,3.9195,0.97964947,-28.80083333,44.33998392,NA,"aboveground biomass"
2023-06-28,2,3,14.84,320.76,161.96,305.92,147.12,51.9089958158996,NA,174,2.4805,1.10376364,-28.83483333,44.50530519,NA,"aboveground biomass"
2023-06-28,3,1,14.78,214.22,135.6,199.44,120.82,39.4203770557561,NA,175,2.9945,1.015635506,-27.94883333,44.2922329,NA,"aboveground biomass"
2023-06-28,3,2,29.15,429.55,229.46,400.4,200.31,49.9725274725275,NA,176,3.0585,0.936044426,-28.95983333,43.8522941,NA,"aboveground biomass"
2023-06-28,3,3,14.95,360.29,183.99,345.34,169.04,51.0511380089187,NA,177,2.4792,1.046119743,-28.6036,43.93444703,NA,"aboveground biomass"
2023-06-28,4,1,14.88,294.27,172.41,279.39,157.53,43.6164501234833,NA,178,2.6902,1.034900835,-27.9956,44.2795715,NA,"aboveground biomass"
2023-06-28,4,2,12.62,341.27,197,328.65,184.38,43.8977635782748,NA,179,2.3412,0.992688763,-28.1116,44.08413313,NA,"aboveground biomass"
2023-06-28,4,3,12.65,322.74,186.18,310.09,173.53,44.0388274371957,NA,180,4.5562,0.892345154,-28.3856,44.26265699,NA,"aboveground biomass"
2023-07-11,1,1,29.42,184,159.37,154.58,129.95,15.9334972182689,NA,181,6.3332,1.456756655,-27.4246,43.69764236,NA,"aboveground biomass"
2023-07-11,1,2,29.33,270.81,216.56,241.48,187.23,22.4656286234885,NA,182,2.0672,1.053153287,-28.7026,43.88490611,NA,"aboveground biomass"
2023-07-11,1,3,29.4,190.13,159.85,160.73,130.45,18.8390468487526,NA,183,3.5932,0.915496461,-28.5946,44.03552795,NA,"aboveground biomass"
2023-07-11,2,1,29.45,389.29,310.35,359.84,280.9,21.9375277901289,NA,184,4.2012,1.042266087,-28.2366,43.8510634,NA,"aboveground biomass"
2023-07-11,2,2,29.44,190.5,154.28,161.06,124.84,22.4885135974171,NA,185,2.4712,1.123318217,-28.6836,43.48709661,NA,"aboveground biomass"
2023-07-11,2,3,29.36,233.67,198.23,204.31,168.87,17.3461896138221,NA,186,3.1122,0.670056277,-29.0586,43.987612,NA,"aboveground biomass"
2023-07-11,3,1,29.55,183.6,162.26,154.05,132.71,13.8526452450503,NA,187,3.5552,1.093963672,-27.9666,43.02937337,NA,"aboveground biomass"
2023-07-11,3,2,29.48,225.61,195.61,196.13,166.13,15.2959771580074,NA,188,2.0512,1.030426151,-28.8386,43.17693705,NA,"aboveground biomass"
2023-07-11,3,3,29.47,250.9,205.11,221.43,175.64,20.6792214243779,NA,189,2.6102,1.108892719,-28.7226,43.20835849,NA,"aboveground biomass"
2023-07-11,4,1,29.6,169.47,147.51,139.87,117.91,15.7002931293344,NA,190,4.0002,1.143659007,-27.8796,43.32908553,NA,"aboveground biomass"
2023-07-11,4,2,29.62,201.57,179.85,171.95,150.23,12.6315789473684,NA,191,2.2302,1.026850866,-28.3856,43.29697546,NA,"aboveground biomass"
2023-07-11,4,3,29.53,176.85,155.35,147.32,125.82,14.5940809122998,NA,192,4.8462,0.743911129,-29.0786,43.17075963,NA,"aboveground biomass"
2020-10-19,NA,1,29.83,65.35,34.86,35.52,5.03,85.838963963964,"spot 1",1,7.7406,3.941609445,-31.1048,44.98476443,1,"mix"
2020-10-19,NA,2,29.64,53.36,33.03,23.72,3.39,85.70826306914,"spot 2",4,7.9256,3.670449554,-30.5098,43.40246243,1,"mix"
2020-10-19,NA,3,29.77,59.56,34.22,29.79,4.45,85.0621013763008,"spot 3",7,3.9986,3.588296265,-30.6458,43.92343973,1,"mix"
2020-10-19,NA,4,29.83,83.34,37.56,53.51,7.73,85.5541020370024,"spot 4",10,5.8886,3.489278576,-30.9368,43.86384967,1,"mix"
2021-05-26,NA,1,29.9,375.2,84.69,345.3,54.79,84.1326382855488,"spot 1",13,3.0026,1.809189355,-30.0308,43.69433037,2,"mix"
2021-05-26,NA,2,30.04,441.03,95.77,410.99,65.73,84.0069101437991,"spot 2",16,5.2126,1.70490003,-30.2248,43.83001105,2,"mix"
2021-05-26,NA,3,29.79,403.83,88.96,374.04,59.17,84.1808362741953,"spot 3",19,2.7536,1.697008779,-29.8268,43.84780142,2,"mix"
2021-05-26,NA,4,29.86,494.21,116.31,464.35,86.45,81.3825777969204,"spot 4",22,8.9256,1.516487946,-30.0478,44.30161388,2,"mix"
2021-07-20,NA,1,30.74,275.33,75.51,244.59,44.77,81.6958992599861,"spot 1",25,1.3166,1.97113664,-30.4908,42.83479605,3,"mix"
2021-07-20,NA,2,30.77,363.66,91.9,332.89,61.13,81.6365766469404,"spot 2",28,2.9696,1.429657725,-30.7978,43.47703492,3,"mix"
2021-07-20,NA,3,30.81,412.7,98.31,381.89,67.5,82.3247532011836,"spot 3",31,0.4856,2.374616161,-30.1668,43.2790589,3,"mix"
2021-07-20,NA,4,30.68,240.24,73.51,209.56,42.83,79.5619393013934,"spot 4",34,2.5356,2.020912187,-30.3538,43.99014398,3,"mix"
2021-09-02,NA,1,30.79,227.59,65.96,196.8,35.17,82.1290650406504,"spot 1",37,0.3726,2.674552979,-29.5998,43.08497576,4,"mix"
2021-09-02,NA,2,30.74,178.65,59.59,147.91,28.85,80.4948955445879,"spot 2",40,1.9196,2.050740355,-30.4028,42.69566182,4,"mix"
2021-09-02,NA,3,30.61,216.43,67.09,185.82,36.48,80.3680981595092,"spot 3",43,2.0426,2.470716539,-29.7848,42.76373248,4,"mix"
2021-09-02,NA,4,30.84,204.97,64.81,174.13,33.97,80.4915867455349,"spot 4",46,0.9136,2.83886026,-29.6008,43.65154798,4,"mix"
2021-10-19,NA,1,29.91,138.04,49.45,108.13,19.54,81.9291593452326,"spot 1",49,2.8466,2.717211804,-30.9688,42.95557783,5,"mix"
2021-10-19,NA,2,29.96,185.51,57.39,155.55,27.43,82.3657987785278,"spot 2",52,-0.1274,3.284791111,-30.8038,44.12865002,5,"mix"
2021-10-19,NA,3,29.81,150.09,50.81,120.28,21,82.5407382773528,"spot 3",55,0.792285714,3.420516093,-30.775,43.85001617,5,"mix"
2021-10-19,NA,3,29.79,224.58,64.31,194.79,34.52,82.2783510447148,"spot 3",55,0.792285714,3.420516093,-30.775,43.85001617,5,"mix"
2022-05-10,NA,1,29.86,327.52,76.66,297.66,46.8,84.2773634347914,"spot 1",61,1.434285714,2.341216459,-29.899,43.25294804,6,"mix"
2022-05-10,NA,2,29.64,275.25,75.44,245.61,45.8,81.3525507919059,"spot 2",64,0.711285714,2.045856338,-29.914,43.28135838,6,"mix"
2022-05-10,NA,3,29.56,379,84.48,349.44,54.92,84.2834249084249,"spot 3",67,2.995285714,2.518382034,-29.482,42.86280518,6,"mix"
2022-05-10,NA,4,29.49,215.72,60.99,186.23,31.5,83.0854319926972,"spot 4",70,0.537285714,2.877269247,-29.286,43.45724361,6,"mix"
2022-06-27,NA,1,30.09,131.97,50.63,101.88,20.54,79.8390263054574,"spot 1",73,0.142285714,2.829308275,-29.203,43.92179996,7,"mix"
2022-06-27,NA,2,30.22,212,69.25,181.78,39.03,78.5289910881285,"spot 2",76,-0.700714286,3.067423506,-29.206,44.50774316,7,"mix"
2022-06-27,NA,3,30.19,253.85,77.95,223.66,47.76,78.6461593490119,"spot 3",79,-0.557714286,2.764618869,-28.629,44.87652089,7,"mix"
2022-06-27,NA,4,30.19,148.03,56.88,117.84,26.69,77.3506449422947,"spot 4",82,0.658285714,2.081886719,-29.824,42.57628201,7,"mix"
2022-07-13,NA,1,29.69,65.49,37.32,28.17,7.63,72.9144479943202,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-13,NA,2,29.74,77.68,40.12,37.56,10.38,72.3642172523962,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-08,NA,1,29.87,175.34,72.5,145.47,42.63,70.6949886574552,NA,85,-0.639714286,2.842066798,-28.141,44.29609862,8,"mix"
2022-08-08,NA,2,29.88,76.42,42.97,46.54,13.09,71.8736570691878,NA,88,-0.448714286,2.931526765,-29.185,44.72741427,8,"mix"
2022-08-08,NA,3,29.76,62.54,40.58,32.78,10.82,66.9920683343502,NA,91,-0.163714286,2.811933911,-27.83,44.15627478,8,"mix"
2022-08-08,NA,4,29.78,115.3,57.04,85.52,27.26,68.1244153414406,NA,94,-0.571714286,2.900324196,-27.333,44.47406863,8,"mix"
2022-09-19,NA,1,29.68,83.38,41.35,53.7,11.67,78.268156424581,NA,97,-0.341714286,3.504762649,-28.159,44.38700583,9,"mix"
2022-09-19,NA,2,29.86,90.98,42.73,61.12,12.87,78.9430628272251,NA,100,-0.029714286,3.844063101,-28.117,45.01879487,9,"mix"
2022-09-19,NA,3,29.9,73.01,39.29,43.11,9.39,78.2185107863605,NA,103,-0.455714286,3.465102445,-28.581,44.7568848,9,"mix"
2022-09-19,NA,4,29.99,78.31,40.55,48.32,10.56,78.1456953642384,NA,106,-0.257714286,3.591205577,-28.721,44.17780604,9,"mix"
2021-10-19,NA,4,NA,NA,NA,NA,NA,NA,NA,58,-0.371714286,3.789830814,-30.05,44.18071902,5,"mix"
2023-07-17,1,1,NA,NA,NA,NA,NA,NA,NA,193,2.7082,0.538958935,-29.5356,23.00344037,NA,"residues"
2023-07-17,1,2,NA,NA,NA,NA,NA,NA,NA,194,3.3492,0.503825319,-29.8516,39.30875376,NA,"residues"
2023-07-17,1,3,NA,NA,NA,NA,NA,NA,NA,195,2.9332,0.468189523,-29.7316,42.73828909,NA,"residues"
2023-07-17,2,1,NA,NA,NA,NA,NA,NA,NA,196,2.2752,0.492685979,-29.4506,42.71739512,NA,"residues"
2023-07-17,2,2,NA,NA,NA,NA,NA,NA,NA,197,2.3422,0.470897816,-29.7726,43.64090775,NA,"residues"
2023-07-17,2,3,NA,NA,NA,NA,NA,NA,NA,198,2.2012,0.476957806,-29.5576,41.73498985,NA,"residues"
2023-07-17,3,1,NA,NA,NA,NA,NA,NA,NA,199,4.3562,0.661854834,-29.5006,42.50939822,NA,"residues"
2023-07-17,3,2,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,"residues"
2023-07-17,3,3,NA,NA,NA,NA,NA,NA,NA,201,NA,NA,NA,NA,NA,"residues"
2023-07-17,4,1,NA,NA,NA,NA,NA,NA,NA,202,NA,NA,NA,NA,NA,"residues"
2023-07-17,4,2,NA,NA,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,"residues"
2023-07-17,4,3,NA,NA,NA,NA,NA,NA,NA,204,NA,NA,NA,NA,NA,"residues"
2023-07-17,1,1,NA,NA,NA,NA,NA,NA,NA,205,NA,NA,NA,NA,NA,"stubbles"
2023-07-17,1,2,NA,NA,NA,NA,NA,NA,NA,206,NA,NA,NA,NA,NA,"stubbles"
2023-07-17,1,3,NA,NA,NA,NA,NA,NA,NA,207,NA,NA,NA,NA,NA,"stubbles"
2023-07-17,2,1,NA,NA,NA,NA,NA,NA,NA,208,NA,NA,NA,NA,NA,"stubbles"
2023-07-17,2,2,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,NA,NA,"stubbles"
2023-07-17,2,3,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,"stubbles"
2023-07-17,3,1,NA,NA,NA,NA,NA,NA,NA,211,NA,NA,NA,NA,NA,"stubbles"
2023-07-17,3,2,NA,NA,NA,NA,NA,NA,NA,212,NA,NA,NA,NA,NA,"stubbles"
2023-07-17,3,3,NA,NA,NA,NA,NA,NA,NA,213,NA,NA,NA,NA,NA,"stubbles"
2023-07-17,4,1,NA,NA,NA,NA,NA,NA,NA,214,NA,NA,NA,NA,NA,"stubbles"
2023-07-17,4,2,NA,NA,NA,NA,NA,NA,NA,215,NA,NA,NA,NA,NA,"stubbles"
2023-07-17,4,3,NA,NA,NA,NA,NA,NA,NA,216,NA,NA,NA,NA,NA,"stubbles"
2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,NA,NA,NA,NA,NA,"grains_harvest"
2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,NA,NA,NA,NA,NA,"seeds_sowing"
2023-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,NA,NA,NA,NA,NA,"mineral_N_fertilizer"
2020-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,NA,NA,NA,NA,NA,"seeds_sowing"
2018-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,NA,NA,NA,NA,NA,"grains_harvest"
