Site,Person,Crop,Date,Cut ,Material,Quadrant,Sample,ISOLAB IDENTITY,NOTES,ANALYZED,PERSON
CH-OE2,FT,temporary grassland,19.10.2020,1,mix,,1,1,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,mix,,2,4,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,legume,,2,5,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,grass,,2,6,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,mix,,3,7,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,legume,,3,8,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,grass,,3,9,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,mix,,4,10,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,legume,,4,11,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,grass,,4,12,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,mix,,1,13,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,legume,,1,14,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,grass,,1,15,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,mix,,2,16,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,legume,,2,17,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,grass,,2,18,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,mix,,3,19,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,legume,,3,20,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,grass,,3,21,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,mix,,4,22,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,legume,,4,23,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,grass,,4,24,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,mix,,1,25,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,legume,,1,26,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,grass,,1,27,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,mix,,2,28,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,legume,,2,29,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,grass,,2,30,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,mix,,3,31,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,legume,,3,32,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,grass,,3,33,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,mix,,4,34,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,legume,,4,35,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,grass,,4,36,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,mix,,1,37,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,legume,,1,38,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,grass,,1,39,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,mix,,2,40,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,legume,,2,41,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,grass,,2,42,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,mix,,3,43,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,legume,,3,44,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,grass,,3,45,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,mix,,4,46,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,legume,,4,47,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,grass,,4,48,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2021,5,mix,,1,49,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2021,5,legume,,1,50,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2021,5,grass,,1,51,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2021,5,mix,,2,52,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2021,5,legume,,2,53,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2021,5,grass,,2,54,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2021,5,mix,,3,55,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2021,5,legume,,3,56,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2021,5,grass,,3,57,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2021,5,mix,,4,58,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2021,5,legume,,4,59,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2021,5,grass,,4,60,,YES,Seraina
CH-OE2,FT,temporary grassland,10.05.2022,6,mix,,1,61,,YES,Seraina
CH-OE2,FT,temporary grassland,10.05.2022,6,legume,,1,62,,YES,Seraina
CH-OE2,FT,temporary grassland,10.05.2022,6,grass,,1,63,,YES,Seraina
CH-OE2,FT,temporary grassland,10.05.2022,6,mix,,2,64,,YES,Seraina
CH-OE2,FT,temporary grassland,10.05.2022,6,legume,,2,65,,YES,Seraina
CH-OE2,FT,temporary grassland,10.05.2022,6,grass,,2,66,,YES,Seraina
CH-OE2,FT,temporary grassland,10.05.2022,6,mix,,3,67,,YES,Seraina
CH-OE2,FT,temporary grassland,10.05.2022,6,legume,,3,68,,YES,Seraina
CH-OE2,FT,temporary grassland,10.05.2022,6,grass,,3,69,,YES,Seraina
CH-OE2,FT,temporary grassland,10.05.2022,6,mix,,4,70,,YES,Seraina
CH-OE2,FT,temporary grassland,10.05.2022,6,legume,,4,71,,YES,Seraina
CH-OE2,FT,temporary grassland,10.05.2022,6,grass,,4,72,,YES,Seraina
CH-OE2,FT,temporary grassland,27.06.2022,7,mix,,1,73,,YES,Seraina
CH-OE2,FT,temporary grassland,27.06.2022,7,legume,,1,74,,YES,Seraina
CH-OE2,FT,temporary grassland,27.06.2022,7,grass,,1,75,,YES,Seraina
CH-OE2,FT,temporary grassland,27.06.2022,7,mix,,2,76,,YES,Seraina
CH-OE2,FT,temporary grassland,27.06.2022,7,legume,,2,77,,YES,Seraina
CH-OE2,FT,temporary grassland,27.06.2022,7,grass,,2,78,,YES,Seraina
CH-OE2,FT,temporary grassland,27.06.2022,7,mix,,3,79,,YES,Seraina
CH-OE2,FT,temporary grassland,27.06.2022,7,legume,,3,80,,YES,Seraina
CH-OE2,FT,temporary grassland,27.06.2022,7,grass,,3,81,,YES,Seraina
CH-OE2,FT,temporary grassland,27.06.2022,7,mix,,4,82,,YES,Seraina
CH-OE2,FT,temporary grassland,27.06.2022,7,legume,,4,83,,YES,Seraina
CH-OE2,FT,temporary grassland,27.06.2022,7,grass,,4,84,,YES,Seraina
CH-OE2,FT,temporary grassland,08.08.2022,8,mix,,1,85,,YES,Seraina
CH-OE2,FT,temporary grassland,08.08.2022,8,legume,,1,86,,YES,Seraina
CH-OE2,FT,temporary grassland,08.08.2022,8,grass,,1,87,,YES,Seraina
CH-OE2,FT,temporary grassland,08.08.2022,8,mix,,2,88,,YES,Seraina
CH-OE2,FT,temporary grassland,08.08.2022,8,legume,,2,89,,YES,Seraina
CH-OE2,FT,temporary grassland,08.08.2022,8,grass,,2,90,,YES,Seraina
CH-OE2,FT,temporary grassland,08.08.2022,8,mix,,3,91,,YES,Seraina
CH-OE2,FT,temporary grassland,08.08.2022,8,legume,,3,92,,YES,Seraina
CH-OE2,FT,temporary grassland,08.08.2022,8,grass,,3,93,,YES,Seraina
CH-OE2,FT,temporary grassland,08.08.2022,8,mix,,4,94,,YES,Seraina
CH-OE2,FT,temporary grassland,08.08.2022,8,legume,,4,95,,YES,Seraina
CH-OE2,FT,temporary grassland,08.08.2022,8,grass,,4,96,,YES,Seraina
CH-OE2,FT,temporary grassland,19.09.2022,9,mix,,1,97,,YES,Seraina
CH-OE2,FT,temporary grassland,19.09.2022,9,legume,,1,98,,YES,Seraina
CH-OE2,FT,temporary grassland,19.09.2022,9,grass,,1,99,,YES,Seraina
CH-OE2,FT,temporary grassland,19.09.2022,9,mix,,2,100,,YES,Seraina
CH-OE2,FT,temporary grassland,19.09.2022,9,legume,,2,101,,YES,Seraina
CH-OE2,FT,temporary grassland,19.09.2022,9,grass,,2,102,,YES,Seraina
CH-OE2,FT,temporary grassland,19.09.2022,9,mix,,3,103,,YES,Seraina
CH-OE2,FT,temporary grassland,19.09.2022,9,legume,,3,104,,YES,Seraina
CH-OE2,FT,temporary grassland,19.09.2022,9,grass,,3,105,,YES,Seraina
CH-OE2,FT,temporary grassland,19.09.2022,9,mix,,4,106,,YES,Seraina
CH-OE2,FT,temporary grassland,19.09.2022,9,legume,,4,107,,YES,Seraina
CH-OE2,FT,temporary grassland,19.09.2022,9,grass,,4,108,,YES,Seraina
CH-OE2,FT,winter wheat,13.12.2022,,aboveground biomass,1,1,109,,YES,Seraina
CH-OE2,FT,winter wheat,13.12.2022,,aboveground biomass,1,2,110,,YES,Seraina
CH-OE2,FT,winter wheat,13.12.2022,,aboveground biomass,1,3,111,,YES,Seraina
CH-OE2,FT,winter wheat,13.12.2022,,aboveground biomass,2,1,112,,YES,Seraina
CH-OE2,FT,winter wheat,13.12.2022,,aboveground biomass,2,2,113,,YES,Seraina
CH-OE2,FT,winter wheat,13.12.2022,,aboveground biomass,2,3,114,,YES,Seraina
CH-OE2,FT,winter wheat,13.12.2022,,aboveground biomass,3,1,115,,YES,Seraina
CH-OE2,FT,winter wheat,13.12.2022,,aboveground biomass,3,2,116,,YES,Seraina
CH-OE2,FT,winter wheat,13.12.2022,,aboveground biomass,3,3,117,,YES,Seraina
CH-OE2,FT,winter wheat,13.12.2022,,aboveground biomass,4,1,118,,YES,Seraina
CH-OE2,FT,winter wheat,13.12.2022,,aboveground biomass,4,2,119,,YES,Seraina
CH-OE2,FT,winter wheat,13.12.2022,,aboveground biomass,4,3,120,,YES,Seraina
CH-OE2,FT,winter wheat,07.02.2023,,aboveground biomass,1,1,121,,YES,Seraina
CH-OE2,FT,winter wheat,07.02.2023,,aboveground biomass,1,2,122,,YES,Seraina
CH-OE2,FT,winter wheat,07.02.2023,,aboveground biomass,1,3,123,,YES,Seraina
CH-OE2,FT,winter wheat,07.02.2023,,aboveground biomass,2,1,124,,YES,Seraina
CH-OE2,FT,winter wheat,07.02.2023,,aboveground biomass,2,2,125,,YES,Seraina
CH-OE2,FT,winter wheat,07.02.2023,,aboveground biomass,2,3,126,,YES,Seraina
CH-OE2,FT,winter wheat,07.02.2023,,aboveground biomass,3,1,127,,YES,Seraina
CH-OE2,FT,winter wheat,07.02.2023,,aboveground biomass,3,2,128,,YES,Seraina
CH-OE2,FT,winter wheat,07.02.2023,,aboveground biomass,3,3,129,,YES,Seraina
CH-OE2,FT,winter wheat,07.02.2023,,aboveground biomass,4,1,130,,YES,Seraina
CH-OE2,FT,winter wheat,07.02.2023,,aboveground biomass,4,2,131,,YES,Seraina
CH-OE2,FT,winter wheat,07.02.2023,,aboveground biomass,4,3,132,,YES,Seraina
CH-OE2,FT,winter wheat,17.03.2023,,aboveground biomass,1,1,133,,YES,Seraina
CH-OE2,FT,winter wheat,17.03.2023,,aboveground biomass,1,2,134,,YES,Seraina
CH-OE2,FT,winter wheat,17.03.2023,,aboveground biomass,1,3,135,,YES,Seraina
CH-OE2,FT,winter wheat,17.03.2023,,aboveground biomass,2,1,136,,YES,Seraina
CH-OE2,FT,winter wheat,17.03.2023,,aboveground biomass,2,2,137,,YES,Seraina
CH-OE2,FT,winter wheat,17.03.2023,,aboveground biomass,2,3,138,,YES,Seraina
CH-OE2,FT,winter wheat,17.03.2023,,aboveground biomass,3,1,139,,YES,Seraina
CH-OE2,FT,winter wheat,17.03.2023,,aboveground biomass,3,2,140,,YES,Seraina
CH-OE2,FT,winter wheat,17.03.2023,,aboveground biomass,3,3,141,,YES,Seraina
CH-OE2,FT,winter wheat,17.03.2023,,aboveground biomass,4,1,142,,YES,Seraina
CH-OE2,FT,winter wheat,17.03.2023,,aboveground biomass,4,2,143,,YES,Seraina
CH-OE2,FT,winter wheat,17.03.2023,,aboveground biomass,4,3,144,,YES,Seraina
CH-OE2,FT,winter wheat,14.04.2023,,aboveground biomass,1,1,145,,YES,Seraina
CH-OE2,FT,winter wheat,14.04.2023,,aboveground biomass,1,2,146,,YES,Seraina
CH-OE2,FT,winter wheat,14.04.2023,,aboveground biomass,1,3,147,,YES,Seraina
CH-OE2,FT,winter wheat,14.04.2023,,aboveground biomass,2,1,148,,YES,Seraina
CH-OE2,FT,winter wheat,14.04.2023,,aboveground biomass,2,2,149,,YES,Seraina
CH-OE2,FT,winter wheat,14.04.2023,,aboveground biomass,2,3,150,,YES,Seraina
CH-OE2,FT,winter wheat,14.04.2023,,aboveground biomass,3,1,151,,YES,Seraina
CH-OE2,FT,winter wheat,14.04.2023,,aboveground biomass,3,2,152,,YES,Seraina
CH-OE2,FT,winter wheat,14.04.2023,,aboveground biomass,3,3,153,,YES,Seraina
CH-OE2,FT,winter wheat,14.04.2023,,aboveground biomass,4,1,154,,YES,Seraina
CH-OE2,FT,winter wheat,14.04.2023,,aboveground biomass,4,2,155,,YES,Seraina
CH-OE2,FT,winter wheat,14.04.2023,,aboveground biomass,4,3,156,,YES,Seraina
CH-OE2,FT,winter wheat,19.05.2023,,aboveground biomass,1,1,157,,,
CH-OE2,FT,winter wheat,19.05.2023,,aboveground biomass,1,2,158,,,
CH-OE2,FT,winter wheat,19.05.2023,,aboveground biomass,1,3,159,,,
CH-OE2,FT,winter wheat,19.05.2023,,aboveground biomass,2,1,160,,,
CH-OE2,FT,winter wheat,19.05.2023,,aboveground biomass,2,2,161,,,
CH-OE2,FT,winter wheat,19.05.2023,,aboveground biomass,2,3,162,,,
CH-OE2,FT,winter wheat,19.05.2023,,aboveground biomass,3,1,163,,,
CH-OE2,FT,winter wheat,19.05.2023,,aboveground biomass,3,2,164,,,
CH-OE2,FT,winter wheat,19.05.2023,,aboveground biomass,3,3,165,,,
CH-OE2,FT,winter wheat,19.05.2023,,aboveground biomass,4,1,166,,,
CH-OE2,FT,winter wheat,19.05.2023,,aboveground biomass,4,2,167,,,
CH-OE2,FT,winter wheat,19.05.2023,,aboveground biomass,4,3,168,,,
CH-OE2,FT,winter wheat,28.06.2023,,aboveground biomass,1,1,169,,,
CH-OE2,FT,winter wheat,28.06.2023,,aboveground biomass,1,2,170,,,
CH-OE2,FT,winter wheat,28.06.2023,,aboveground biomass,1,3,171,,,
CH-OE2,FT,winter wheat,28.06.2023,,aboveground biomass,2,1,172,,,
CH-OE2,FT,winter wheat,28.06.2023,,aboveground biomass,2,2,173,,,
CH-OE2,FT,winter wheat,28.06.2023,,aboveground biomass,2,3,174,,,
CH-OE2,FT,winter wheat,28.06.2023,,aboveground biomass,3,1,175,,,
CH-OE2,FT,winter wheat,28.06.2023,,aboveground biomass,3,2,176,,,
CH-OE2,FT,winter wheat,28.06.2023,,aboveground biomass,3,3,177,,,
CH-OE2,FT,winter wheat,28.06.2023,,aboveground biomass,4,1,178,,,
CH-OE2,FT,winter wheat,28.06.2023,,aboveground biomass,4,2,179,,,
CH-OE2,FT,winter wheat,28.06.2023,,aboveground biomass,4,3,180,,,
CH-OE2,FT,winter wheat,11.07.2023,,aboveground biomass,1,1,181,,,
CH-OE2,FT,winter wheat,11.07.2023,,aboveground biomass,1,2,182,,,
CH-OE2,FT,winter wheat,11.07.2023,,aboveground biomass,1,3,183,,,
CH-OE2,FT,winter wheat,11.07.2023,,aboveground biomass,2,1,184,,,
CH-OE2,FT,winter wheat,11.07.2023,,aboveground biomass,2,2,185,,,
CH-OE2,FT,winter wheat,11.07.2023,,aboveground biomass,2,3,186,,,
CH-OE2,FT,winter wheat,11.07.2023,,aboveground biomass,3,1,187,,,
CH-OE2,FT,winter wheat,11.07.2023,,aboveground biomass,3,2,188,,,
CH-OE2,FT,winter wheat,11.07.2023,,aboveground biomass,3,3,189,,,
CH-OE2,FT,winter wheat,11.07.2023,,aboveground biomass,4,1,190,,,
CH-OE2,FT,winter wheat,11.07.2023,,aboveground biomass,4,2,191,,,
CH-OE2,FT,winter wheat,11.07.2023,,aboveground biomass,4,3,192,,,
CH-OE2,FT,winter wheat,17.07.2023,,residues,1,1,193,,,
CH-OE2,FT,winter wheat,17.07.2023,,residues,1,2,194,,,
CH-OE2,FT,winter wheat,17.07.2023,,residues,1,3,195,,,
CH-OE2,FT,winter wheat,17.07.2023,,residues,2,1,196,,,
CH-OE2,FT,winter wheat,17.07.2023,,residues,2,2,197,,,
CH-OE2,FT,winter wheat,17.07.2023,,residues,2,3,198,,,
CH-OE2,FT,winter wheat,17.07.2023,,residues,3,1,199,,,
CH-OE2,FT,winter wheat,17.07.2023,,residues,3,2,200,,,
CH-OE2,FT,winter wheat,17.07.2023,,residues,3,3,201,,,
CH-OE2,FT,winter wheat,17.07.2023,,residues,4,1,202,,,
CH-OE2,FT,winter wheat,17.07.2023,,residues,4,2,203,,,
CH-OE2,FT,winter wheat,17.07.2023,,residues,4,3,204,,,
CH-OE2,FT,winter wheat,17.07.2023,,stubbles,1,1,205,,,
CH-OE2,FT,winter wheat,17.07.2023,,stubbles,1,2,206,,,
CH-OE2,FT,winter wheat,17.07.2023,,stubbles,1,3,207,,,
CH-OE2,FT,winter wheat,17.07.2023,,stubbles,2,1,208,,,
CH-OE2,FT,winter wheat,17.07.2023,,stubbles,2,2,209,,,
CH-OE2,FT,winter wheat,17.07.2023,,stubbles,2,3,210,,,
CH-OE2,FT,winter wheat,17.07.2023,,stubbles,3,1,211,,,
CH-OE2,FT,winter wheat,17.07.2023,,stubbles,3,2,212,,,
CH-OE2,FT,winter wheat,17.07.2023,,stubbles,3,3,213,,,
CH-OE2,FT,winter wheat,17.07.2023,,stubbles,4,1,214,,,
CH-OE2,FT,winter wheat,17.07.2023,,stubbles,4,2,215,,,
CH-OE2,FT,winter wheat,17.07.2023,,stubbles,4,3,216,,,
CH-OE2,FT,winter wheat,17.07.2023,,hay,,,217,,,
CH-OE2,FT,winter wheat,06.10.2022,,seeds_sowing,,,218,,,
CH-OE2,FT,winter wheat,15.07.2023,,grains_harvest,,,219,,,
CH-OE2,FT,winter wheat,27.02.2023,,mineral_N_fertilizer,,,220,,,
CH-OE2,FT,temporary grassland,19.08.2020,,seeds_sowing,,,221,,,
CH-OE2,FT,rapeseed,12.07.2018,,grains_harvest,,,222,,,
