"date","quadrant (Q)","sample","tara (g)","wet (g)","dry (g)","wet-tara","dry-tara","WC(%)"
2022-12-13,1,1,10.35,22.7,11.96,12.35,1.61,86.9635627530364
2022-12-13,1,2,10.35,36.5,13.7,26.15,3.35,87.189292543021
2022-12-13,1,3,10.35,37.89,15.97,27.54,5.62,79.5933188090051
2022-12-13,2,1,10.35,47.33,18.01,36.98,7.66,79.2861005949162
2022-12-13,2,2,10.35,32.27,14.11,21.92,3.76,82.8467153284672
2022-12-13,2,3,10.35,35.45,14.58,25.1,4.23,83.1474103585657
2022-12-13,3,1,10.35,40.69,16.6,30.34,6.25,79.4001318391562
2022-12-13,3,2,10.35,22.68,12.81,12.33,2.46,80.0486618004866
2022-12-13,3,3,10.35,28.38,12.87,18.03,2.52,86.0232945091514
2022-12-13,4,1,10.35,43.18,15.97,32.83,5.62,82.8815108132805
2022-12-13,4,2,10.35,56.29,16.54,45.94,6.19,86.5259033521985
2022-12-13,4,3,10.35,28.71,13.3,18.36,2.95,83.9324618736383
2023-02-07,1,1,10.63,33.45,16.32,22.82,5.69,75.0657318141981
2023-02-07,1,2,10.6,36.47,16.52,25.87,5.92,77.1163509856977
2023-02-07,1,3,10.5,27.38,14.55,16.88,4.05,76.0071090047393
2023-02-07,2,1,10.59,14.75,11.17,4.16,0.58,86.0576923076923
2023-02-07,2,2,10.64,25.01,14.44,14.37,3.8,73.5560194850383
2023-02-07,2,3,10.56,43.58,18.17,33.02,7.61,76.9533615990309
2023-02-07,3,1,10.61,18.32,12.19,7.71,1.58,79.5071335927367
2023-02-07,3,2,10.54,27.79,14.62,17.25,4.08,76.3478260869565
2023-02-07,3,3,10.54,23.27,13.32,12.73,2.78,78.1618224666143
2023-02-07,4,1,10.47,24.24,13.79,13.77,3.32,75.8896151053014
2023-02-07,4,2,10.51,29.7,15.28,19.19,4.77,75.1433038040646
2023-02-07,4,3,10.53,26.05,14.19,15.52,3.66,76.4175257731959
2023-03-17,1,1,10.35,42.98,18.07,32.63,7.72,76.3407906834202
2023-03-17,1,2,10.44,35.92,16.54,25.48,6.1,76.0596546310832
2023-03-17,1,3,10.45,36.3,16.45,25.85,6,76.78916827853
2023-03-17,2,1,10.39,29.37,15.06,18.98,4.67,75.3951527924131
2023-03-17,2,2,10.36,38.98,18.11,28.62,7.75,72.9210342417889
2023-03-17,2,3,10.34,52,20.38,41.66,10.04,75.9001440230437
2023-03-17,3,1,10.29,40.99,17.61,30.7,7.32,76.1563517915309
2023-03-17,3,2,10.28,37.75,16.64,27.47,6.36,76.847469967237
2023-03-17,3,3,10.31,32.1,15.35,21.79,5.04,76.8701239100505
2023-03-17,4,1,10.32,28.43,14.87,18.11,4.55,74.8757592490337
2023-03-17,4,2,10.37,41.49,17.88,31.12,7.51,75.8676092544987
2023-03-17,4,3,10.4,31.9,16.08,21.5,5.68,73.5813953488372
2023-04-14,1,1,12.79,109.81,30.09,97.02,17.3,82.1686250257679
2023-04-14,1,2,12.68,143.16,34.25,130.48,21.57,83.4687308399755
2023-04-14,1,3,12.68,154.85,39.05,142.17,26.37,81.4517830765984
2023-04-14,2,1,12.81,151.68,39.16,138.87,26.35,81.0254194570462
2023-04-14,2,2,12.83,174.66,43.62,161.83,30.79,80.9738614595563
2023-04-14,2,3,12.84,122.35,33.05,109.51,20.21,81.5450643776824
2023-04-14,3,1,12.73,105.94,31.52,93.21,18.79,79.8412187533526
2023-04-14,3,2,12.76,43.72,18.98,30.96,6.22,79.9095607235142
2023-04-14,3,3,12.62,147.99,38.27,135.37,25.65,81.0519317426313
2023-04-14,4,1,12.65,82.5,26.98,69.85,14.33,79.4846098783107
2023-04-14,4,2,12.62,50.5,21.01,37.88,8.39,77.8511087645195
2023-04-14,4,3,12.63,75.99,26.44,63.36,13.81,78.2039141414141
2023-05-19,1,1,30,374.58,90.44,344.58,60.44,82.4598061408091
2023-05-19,1,2,30.07,669.29,140.2,639.22,110.13,82.7711898876756
2023-05-19,1,3,29.97,447.55,106.08,417.58,76.11,81.7735523731979
2023-05-19,2,1,30,542.31,126.16,512.31,96.16,81.2301145790635
2023-05-19,2,2,29.94,428.88,102.1,398.94,72.16,81.9120669774903
2023-05-19,2,3,30,442.5,102.04,412.5,72.04,82.5357575757576
2023-05-19,3,1,29.84,640.75,143.48,610.91,113.64,81.3982419669018
2023-05-19,3,2,29.91,411.19,100.5,381.28,70.59,81.4860469995804
2023-05-19,3,3,29.96,586.47,133.25,556.51,103.29,81.4396866183896
2023-05-19,4,1,29.86,403.87,102.99,374.01,73.13,80.4470468704045
2023-05-19,4,2,29.77,298.95,81.55,269.18,51.78,80.7638011739357
2023-05-19,4,3,29.97,291.73,82.35,261.76,52.38,79.9893031784841
2023-06-19,1,1,29.12,241.45,126.6,212.33,97.48,54.0903310884001
2023-06-19,1,2,12.82,250.13,118.64,237.31,105.82,55.4085373562007
2023-06-19,1,3,12.72,269.34,115.18,256.62,102.46,60.0732600732601
2023-06-19,2,1,12.67,515.3,209.94,502.63,197.27,60.7524421542685
2023-06-19,2,2,12.71,322.23,138.52,309.52,125.81,59.3531920392866
2023-06-19,2,3,12.68,266.6,115.89,253.92,103.21,59.3533396345306
2023-06-19,3,1,12.72,269.34,189.76,256.62,177.04,31.0108331384927
2023-06-19,3,2,12.69,381.41,174.4,368.72,161.71,56.142872640486
2023-06-19,3,3,12.76,454.02,142.68,441.26,129.92,70.5570412001994
2023-06-19,4,1,12.73,304.2,144.18,291.47,131.45,54.9010189727931
2023-06-19,4,2,12.71,387.75,171.06,375.04,158.35,57.7778370307167
2023-06-19,4,3,12.8,346.92,160.6,334.12,147.8,55.7643960253801
2023-06-28,1,1,14.99,390.98,211.3,375.99,196.31,47.7885050134312
2023-06-28,1,2,14.87,268.81,154.02,253.94,139.15,45.2035913995432
2023-06-28,1,3,14.86,430.11,216.65,415.25,201.79,51.4051776038531
2023-06-28,2,1,29.15,316.13,189.99,286.98,160.84,43.9542825283992
2023-06-28,2,2,14.84,358.36,185.14,343.52,170.3,50.4250116441547
2023-06-28,2,3,14.84,320.76,161.96,305.92,147.12,51.9089958158996
2023-06-28,3,1,14.78,214.22,135.6,199.44,120.82,39.4203770557561
2023-06-28,3,2,29.15,429.55,229.46,400.4,200.31,49.9725274725275
2023-06-28,3,3,14.95,360.29,183.99,345.34,169.04,51.0511380089187
2023-06-28,4,1,14.88,294.27,172.41,279.39,157.53,43.6164501234833
2023-06-28,4,2,12.62,341.27,197,328.65,184.38,43.8977635782748
2023-06-28,4,3,12.65,322.74,186.18,310.09,173.53,44.0388274371957
2023-07-11,1,1,29.42,184,159.37,154.58,129.95,15.9334972182689
2023-07-11,1,2,29.33,270.81,216.56,241.48,187.23,22.4656286234885
2023-07-11,1,3,29.4,190.13,159.85,160.73,130.45,18.8390468487526
2023-07-11,2,1,29.45,389.29,310.35,359.84,280.9,21.9375277901289
2023-07-11,2,2,29.44,190.5,154.28,161.06,124.84,22.4885135974171
2023-07-11,2,3,29.36,233.67,198.23,204.31,168.87,17.3461896138221
2023-07-11,3,1,29.55,183.6,162.26,154.05,132.71,13.8526452450503
2023-07-11,3,2,29.48,225.61,195.61,196.13,166.13,15.2959771580074
2023-07-11,3,3,29.47,250.9,205.11,221.43,175.64,20.6792214243779
2023-07-11,4,1,29.6,169.47,147.51,139.87,117.91,15.7002931293344
2023-07-11,4,2,29.62,201.57,179.85,171.95,150.23,12.6315789473684
2023-07-11,4,3,29.53,176.85,155.35,147.32,125.82,14.5940809122998
